library_prefix	sample_ID	sample_rep
I11	iPSC	iPSC_rep1
I12	iPSC	iPSC_rep1
I13	iPSC	iPSC_rep1
I21	iPSC	iPSC_rep2
I22	iPSC	iPSC_rep2
I23	iPSC	iPSC_rep2
S11	NSC	NSC_rep1
S12	NSC	NSC_rep1
S13	NSC	NSC_rep1
S21	NSC	NSC_rep2
S22	NSC	NSC_rep2
S23	NSC	NSC_rep2
N11	Neuron	Neuron_rep1
N12	Neuron	Neuron_rep1
N13	Neuron	Neuron_rep1
N21	Neuron	Neuron_rep2
N22	Neuron	Neuron_rep2
D2N1	THP1_DMSO	THP1.DMSO24.noPAP_1
D2N2	THP1_DMSO	THP1.DMSO24.noPAP_2
D2P1	THP1_DMSO	THP1.DMSO24.PAP_1
D2P2	THP1_DMSO	THP1.DMSO24.PAP_2
D9N1	THP1_DMSO	THP1.DMSO96.noPAP_1
D9N2	THP1_DMSO	THP1.DMSO96.noPAP_2
D9P1	THP1_DMSO	THP1.DMSO96.PAP_1
D9P2	THP1_DMSO	THP1.DMSO96.PAP_2
P2N1	THP1_PMA	THP1.PMA24.noPAP_1
P2N2	THP1_PMA	THP1.PMA24.noPAP_2
P2P1	THP1_PMA	THP1.PMA24.PAP_1
P2P2	THP1_PMA	THP1.PMA24.PAP_2
P9N1	THP1_PMA	THP1.PMA96.noPAP_1
P9N2	THP1_PMA	THP1.PMA96.noPAP_2
P9P1	THP1_PMA	THP1.PMA96.PAP_1
P9P2	THP1_PMA	THP1.PMA96.PAP_2

