group	site_label	count	percent
Intropolis	1_GT/AG	17382886	0.422667292473509
Intropolis	3_GC/AG	15371721	0.373765535580696
Intropolis	5_AT/AC	8372034	0.203567171945795
Short_read	1_GT/AG	222043	0.871365109762893
Short_read	3_GC/AG	30895	0.121241494062522
Short_read	5_AT/AC	1884	0.00739339617458461
GENCODEv39	0_noncanonical	4780	0.0120975599879531
GENCODEv39	1_GT/AG	382940	0.969171468993043
GENCODEv39	3_GC/AG	7097	0.0179615864507328
GENCODEv39	5_AT/AC	304	0.000769384568271492
Intropolis_n_Short_read	1_GT/AG	991584	0.963140533757086
Intropolis_n_Short_read	3_GC/AG	36748	0.0356938880967274
Intropolis_n_Short_read	5_AT/AC	1200	0.00116557814618681
